Annual Total,April,August,December,District,February,January,July,June,March,May,November,October,September,State,Year,_id
493.3,23.2,9.9,0.0,Gadag,0.0,0.0,26.4,141.4,5.2,101.5,35.6,62.2,87.9,Karnataka,2006,5b0558d45cfe9b8414e39532
790.0,12.1,85.8,0.2,Gadag,0.0,0.0,110.9,153.2,1.7,49.3,13.2,68.3,295.3,Karnataka,2007,5b0558d45cfe9b8414e39533
733.8,51.6,60.7,1.4,Gadag,0.1,0.0,40.1,64.4,195.0,46.4,98.0,85.4,90.7,Karnataka,2008,5b0558d45cfe9b8414e39534
961.1,32.5,242.8,62.1,Gadag,0.0,0.0,60.6,88.2,11.4,78.1,44.7,170.8,169.9,Karnataka,2009,5b0558d45cfe9b8414e39535
720.0,23.0,158.9,0.2,Gadag,9.3,6.6,85.1,70.7,0.0,71.0,147.6,78.5,69.1,Karnataka,2010,5b0558d45cfe9b8414e39536
427.9,63.2,104.2,0.0,Gadag,0.6,0.0,53.4,55.3,2.0,50.8,0.6,68.7,29.1,Karnataka,2011,5b0558d45cfe9b8414e39537
491.3,54.3,78.3,0.0,Gadag,0.0,0.0,41.5,28.9,0.0,46.0,150.1,41.7,50.5,Karnataka,2012,5b0558d45cfe9b8414e39538
542.5,47.1,43.1,0.0,Gadag,0.0,0.0,52.8,79.9,10.5,58.1,0.3,80.9,169.8,Karnataka,2013,5b0558d45cfe9b8414e39539
774.2,24.4,188.4,30.8,Gadag,19.9,0.0,125.9,61.3,12.1,115.0,29.0,99.0,68.4,Karnataka,2014,5b0558d45cfe9b8414e3953a
652.1,42.9,38.2,0.0,Gulbarga,0.1,9.2,157.7,52.7,0.4,104.0,2.3,79.6,165.0,Karnataka,2004,5b0558d45cfe9b8414e3953b
911.3,78.8,138.6,0.0,Gulbarga,3.3,24.9,225.0,60.6,12.9,21.3,1.1,121.1,223.7,Karnataka,2005,5b0558d45cfe9b8414e3953c
527.9,14.6,51.1,0.0,Gulbarga,0.0,0.0,47.4,97.1,19.4,85.9,32.3,37.4,142.7,Karnataka,2006,5b0558d45cfe9b8414e3953d
764.2,5.5,149.3,0.1,Gulbarga,0.0,0.0,84.5,237.3,0.3,23.9,14.1,14.7,234.5,Karnataka,2007,5b0558d45cfe9b8414e3953e
744.0,6.1,152.6,8.1,Gulbarga,4.5,0.0,102.9,62.2,143.1,5.1,16.3,74.4,168.7,Karnataka,2008,5b0558d45cfe9b8414e3953f
906.6,7.7,198.9,6.2,Gulbarga,0.0,0.0,45.0,98.8,7.5,30.4,38.8,180.1,293.2,Karnataka,2009,5b0558d45cfe9b8414e39540
938.9,14.9,245.6,3.5,Gulbarga,5.3,7.8,247.3,117.9,1.2,27.5,45.1,87.6,135.2,Karnataka,2010,5b0558d45cfe9b8414e39541
683.1,38.0,210.3,0.0,Gulbarga,13.9,1.6,201.6,72.7,2.0,30.2,1.1,60.5,51.2,Karnataka,2011,5b0558d45cfe9b8414e39542
