State/UT,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual
Madhya Pradesh,2004,23.14,0.019512195,0,1.880952381,7.582222222,138.0955556,209.4622222,397.1133333,69.81777778,33.24,2.817777778,0,883.1693535
Telangana,2004,22.46666667,7.044444444,8.833333333,30.25555556,35.52222222,56.94444444,250.0444444,146.4111111,117.9111111,75.05555556,6.144444444,0,756.6333333
Daman and Diu,2004,0,0,0,0,0,393.2,827.2,1350.2,145.5,17.6,0,0,2733.7
Andaman and Nicobar Islands,2004,42.3,111.2,59.75,56.8,468.85,390.75,303.8,271.15,297.2,223.4,171,52.35,2448.55
Uttarakhand,2004,45.31428571,6.371428571,0,31.52222222,62.57,139.0363636,493.8666667,468.2083333,175.4583333,77.04545455,0.177777778,0.6625,1500.233366
Odisha,2004,5.85,11.71153846,7.642307692,66.90769231,37.71923077,196.4846154,324.4576923,341.0230769,149.9269231,154.6269231,0.823076923,0.011538462,1297.184615
Himachal Pradesh,2004,111.2636364,22.36363636,0.481818182,42.16363636,52.1,95.21818182,188.0909091,283.4090909,60.46363636,112.6727273,3.172727273,17.46363636,988.8636364
Goa,2004,0,0,0,0,62.3,664.2,752.8,624,197.8,85.8,6.3,0,2393.2
Punjab,2004,47.75,7.5125,0,7.65,32.2125,49.4875,69.9,153.8375,12.875,51.8375,0.7875,6.58125,440.43125
Maharashtra,2004,13.64545455,1.43030303,0.196969697,2.818181818,21.31818182,219.5242424,306.6848485,341.2363636,156.9090909,37.67272727,8.260606061,0,1109.69697
Lakshadweep,2004,7.2,1.5,1.9,7.6,874,251.3,280.9,169.4,200,193.3,107.5,2.2,2096.8
Karnataka,2004,1.681481481,1.407407407,5.844444444,53.77407407,185.0666667,221.5444444,216.762963,207.4296296,138.8407407,102.2703704,24.66666667,0.162962963,1159.451852
Puducherry,2004,29.8,0,0.5,0.1,370.2,19.3,30.1,120,323.7,505,399,41.8,1839.5
Kerala,2004,2.7,8.085714286,38.45,113.5428571,622.2142857,665.3142857,378.4,406.0857143,196.7928571,326.4928571,123.5785714,1.75,2883.407143
Meghalaya,2004,5.75,8.45,266.75,677.8,799.9,847.7,2725.9,718.65,576.7,1001.75,11.9,10.5,7651.75
Uttar Pradesh,2004,24.55178571,0.463793103,0,14.33333333,30.3557377,129.484127,191.7460317,200.6571429,103.8031746,45.93548387,1.286792453,0.03877551,742.6561779
Manipur,2004,5.2,0,20.2,380,152.4,190.8,168.8,171.6,142.9,93.9,10.9,2.1,1338.8
Delhi,2004,15.8,0.3,0,39.6,52.7,48,40.6,284.7,4.2,108.5,0,0,594.4
Arunachal Pradesh,2004,35.62727273,21.24545455,170.0916667,247.3363636,366.8181818,465.1583333,753.8083333,297.8666667,346.3166667,236.7727273,7.781818182,18.18181818,2967.005303
Assam,2004,17.70952381,19.15714286,68.41428571,354.315,392.5380952,374.4571429,621.1761905,264.6666667,275.3857143,224.9428571,2.757142857,6.19047619,2621.710238
Dadra and Nagar Haveli,2004,,,,,,,,,,,,,
Jharkhand,2004,5.827272727,2.722222222,2.55,51.83636364,47.96,238.2909091,240.8090909,266.6454545,186.5363636,123.0666667,0.016666667,1.1,1167.36101
Chandigarh,2004,103.9,3.4,0,11.3,58.6,89.2,96.1,718,20.3,140,0,2.4,1243.2
Nagaland,2004,10.975,6.766666667,10.45,126.875,121.7,195.8,404.2,182.025,186.15,161.075,9.975,0.45,1416.441667
Tripura,2004,1.7,2.566666667,4.5,427.5,241.9333333,557.1333333,520.3,221.5,491.6666667,160.4333333,0,0.066666667,2629.3
West Bengal,2004,9.42,2.693333333,17.25333333,67.73333333,125.8466667,290.9235294,421.1647059,324.1352941,299.8294118,215.0823529,1.911764706,1.405882353,1777.399608
Haryana,2004,36.37368421,0.563157895,0,23.48947368,42.43684211,63.13157895,26.35263158,276.6631579,30.60555556,56.84210526,1.368421053,1.310526316,559.1371345
Chhattisgarh,2004,25.42,7.742857143,7.221428571,15.57857143,23.87333333,221.9875,329.2875,319.05,113.41875,43.95625,0.45,0.3375,1108.32369
Gujarat,2004,0.06,0,0,0,8.744,134.3,237.936,501.328,49.776,21.368,0.012,0,953.524
Jammu and Kashmir,2004,136.54,54.8,7.31,106.99,64.81,73.5,136.22,99.19,36.28,68.15,22.44,29.15,835.38
Andhra Pradesh,2004,13.71538462,3.769230769,4.892307692,38.53076923,102.6846154,94.05384615,159.9692308,80.76153846,158.6692308,159.7615385,37.14615385,0.015384615,853.9692308
Sikkim,2004,18.7,55.6,105.7,454.7,440.8,410,443.6,379.3,326.7,116.7,16.7,10.5,2779
Tamil Nadu,2004,9.037931034,2.965517241,4.934482759,34.4,243.7,44.68965517,61.20344828,35.70344828,217.9034483,273.2068966,182.3724138,16.14827586,1126.265517
